DEPTH,GR,RES,PHIE,RHOB,Class,Unique_Class_Num
3436.25,20.739,9.656,0.3038,2.134,"1, 2, 4",3
3436.5,19.767,9.742,0.3026,2.137,"1, 2, 4",3
3436.75,18.665,9.872,0.3016,2.14,"1, 2, 4",3
3437,17.441,10.007,0.2987,2.146,"1, 2, 4",3
3437.25,16.493,10.112,0.2969,2.15,"1, 2, 4",3
3437.5,16.476,10.166,0.2969,2.15,"1, 2, 4",3
3437.75,16.671,10.174,0.2938,2.155,"1, 2, 4",3
3438,16.533,10.163,0.2884,2.164,"1, 2, 4",3
3438.25,16.638,10.172,0.2828,2.173,"1, 2, 4",3
3438.5,17.117,10.241,0.2783,2.18,"1, 2, 3, 4",2
3438.75,17.749,10.395,0.2742,2.186,"1, 2, 3, 4",2
3439,18.592,10.657,0.27,2.192,"1, 2, 3, 4",2
3439.25,19.929,11.112,0.2673,2.195,"1, 2, 3, 4",2
3439.5,21.047,11.7,0.2616,2.203,"1, 2, 3, 4",2
3439.75,21.104,12.545,0.2597,2.206,"1, 2, 3, 4",2
3440,21.015,13.846,0.2586,2.208,"1, 2, 3, 4",2
3440.25,21.542,15.505,0.26,2.205,"1, 2, 3, 4",2
3440.5,22.02,17.654,0.2627,2.2,"1, 2, 3, 4",2
3440.75,22.093,20.256,0.2621,2.201,"1, 2, 3, 4",2
3441,22.295,22.602,0.2656,2.195,"1, 2, 3, 4",2
3441.25,22.611,25.041,0.2757,2.178,"1, 2, 3, 4",2
3441.5,22.555,26.659,0.28,2.171,"1, 2, 3, 4",2
3441.75,22.425,26.936,0.2813,2.169,"1, 2, 4",3
3442,22.376,26.678,0.2777,2.175,"1, 2, 3, 4",2
3442.25,22.109,24.885,0.2754,2.179,"1, 2, 3, 4",2
3442.5,21.728,22.241,0.2733,2.183,"1, 2, 3, 4",2
3442.75,21.639,19.341,0.2685,2.191,"1, 2, 3, 4",2
3443,22.077,16.934,0.2615,2.202,"1, 2, 3, 4",2
3443.25,22.247,14.873,0.2583,2.207,"1, 2, 3, 4",2
3443.5,21.631,13.262,0.2527,2.217,"1, 2, 3, 4",2
3443.75,21.201,12.057,0.2487,2.224,"1, 2, 3, 4",2
3444,21.461,11.128,0.2473,2.226,"1, 2, 3, 4",2
3444.25,22.012,10.584,0.2512,2.219,"1, 2, 3, 4",2
3444.5,22.441,10.283,0.2588,2.206,"1, 2, 3, 4",2
3444.75,22.376,10.125,0.2613,2.202,"1, 2, 3, 4",2
3445,21.704,9.994,0.2672,2.193,"1, 2, 3, 4",2
3445.25,20.618,9.791,0.2765,2.179,"1, 2, 3, 4",2
3445.5,19.994,9.479,0.2867,2.163,"1, 2, 4",3
3445.75,20.196,9.103,0.295,2.149,"1, 2, 4",3
3446,20.269,8.764,0.2968,2.146,"1, 2, 4",3
3446.25,19.824,8.632,0.302,2.138,"1, 2, 4",3
3446.5,19.345,8.649,0.3053,2.133,"1, 2, 4",3
3446.75,19.029,8.899,0.3043,2.135,"1, 2, 4",3
3447,19.151,9.41,0.3067,2.131,"1, 2, 4",3
3447.25,19.888,10.263,0.3104,2.124,"1, 2, 4",3
3447.5,20.512,11.343,0.3179,2.111,"1, 2, 4",3
3447.75,20.618,12.846,0.3197,2.108,"1, 2, 4",3
3448,20.78,14.901,0.3183,2.11,"1, 2, 4",3
3448.25,21.055,17.754,0.3169,2.112,"1, 2, 4",3
3448.5,20.893,21.722,0.3182,2.11,"1, 2, 4",3
3448.75,20.553,27.45,0.3203,2.107,"1, 2, 4",3
3449,20.699,35.542,0.3226,2.103,"1, 2, 4",3
3449.25,20.52,45.494,0.3264,2.097,"1, 2, 4",3
3449.5,19.524,53.124,0.3326,2.088,"1, 2, 4",3
3449.75,19.11,51.53,0.3341,2.086,"1, 2, 4",3
3450,19.459,41.326,0.3351,2.084,"1, 2, 4",3
3450.25,19.499,30.054,0.335,2.084,"1, 2, 4",3
3450.5,19.418,21.619,0.3339,2.086,"1, 2, 4",3
3450.75,19.953,17.27,0.3298,2.092,"1, 2, 4",3
3451,20.812,12.7,0.3305,2.09,"1, 2, 4",3
3451.25,21.371,9.818,0.3301,2.09,"1, 2, 4",3
3451.5,22.247,8.072,0.327,2.094,"1, 2, 4",3
3451.75,23.697,6.912,0.3253,2.095,"1, 2, 4",3
3452,24.638,6.212,0.3252,2.094,"1, 2, 4",3
3452.25,25.027,5.779,0.3231,2.097,"1, 2, 4",3
3452.5,25.505,5.548,0.3246,2.094,"1, 2, 4",3
3452.75,25.959,5.493,0.3218,2.098,"1, 2, 4",3
3453,26.032,5.615,0.3217,2.098,"1, 2, 4",3
3453.25,25.788,5.934,0.3189,2.103,"1, 2, 4",3
3453.5,25.74,6.502,0.3165,2.107,"1, 2, 4",3
3453.75,25.545,7.411,0.3124,2.114,"1, 2, 4",3
3454,24.913,8.825,0.305,2.127,"1, 2, 4",3
3454.25,24.289,11.008,0.3006,2.135,"1, 2, 4",3
3454.5,23.333,14.397,0.2964,2.143,"1, 2, 4",3
3454.75,22.239,19.12,0.2905,2.154,"1, 2, 4",3
3455,21.469,24.662,0.285,2.164,"1, 2, 4",3
3455.25,20.885,28.864,0.2806,2.172,"1, 2, 4",3
3455.5,20.285,29.469,0.2767,2.179,"1, 2, 3, 4",2
3455.75,19.232,31.516,0.2762,2.181,"1, 2, 3, 4",2
3456,18.049,28.649,0.2776,2.18,"1, 2, 3, 4",2
3456.25,17.19,23.344,0.2813,2.175,"1, 2, 4",3
3456.5,16.857,18.597,0.2845,2.17,"1, 2, 4",3
3456.75,17.514,15.666,0.2896,2.161,"1, 2, 4",3
3457,18.348,14.103,0.2945,2.152,"1, 2, 4",3
3457.25,18.316,13.468,0.3006,2.142,"1, 2, 4",3
3457.5,17.789,13.488,0.3058,2.134,"1, 2, 4",3
3457.75,17.36,13.971,0.3073,2.132,"1, 2, 4",3
3458,17.165,14.755,0.3105,2.127,"1, 2, 4",3
3458.25,17.481,15.709,0.3115,2.125,"1, 2, 4",3
3458.5,18.421,16.776,0.3096,2.127,"1, 2, 4",3
3458.75,19.167,17.972,0.3061,2.132,"1, 2, 4",3
3459,19.021,19.553,0.3025,2.138,"1, 2, 4",3
3459.25,18.511,21.83,0.2986,2.145,"1, 2, 4",3
3459.5,18.519,24.865,0.295,2.151,"1, 2, 4",3
3459.75,18.883,28.102,0.2892,2.16,"1, 2, 4",3
3460,19.418,30.078,0.2877,2.162,"1, 2, 4",3
3460.25,20.123,28.833,0.2908,2.156,"1, 2, 4",3
3460.5,20.504,24.487,0.2954,2.148,"1, 2, 4",3
3460.75,20.48,19.324,0.3009,2.139,"1, 2, 4",3
3461,20.65,15.228,0.3063,2.13,"1, 2, 4",3
3461.25,21.274,12.007,0.304,2.133,"1, 2, 4",3
3461.5,21.42,9.891,0.3033,2.134,"1, 2, 4",3
3461.75,20.974,8.521,0.3012,2.138,"1, 2, 4",3
3462,20.958,7.712,0.2975,2.144,"1, 2, 4",3
3462.25,21.031,7.159,0.2932,2.151,"1, 2, 4",3
3462.5,20.65,6.844,0.288,2.16,"1, 2, 4",3
3462.75,19.986,6.725,0.2812,2.172,"1, 2, 4",3
3463,19.183,6.786,0.2732,2.186,"1, 2, 3, 4",2
3463.25,18.292,7.037,0.2647,2.201,"1, 2, 3, 4",2
3463.5,17.254,7.501,0.2624,2.206,"1, 2, 3, 4",2
3463.75,17.109,8.214,0.2631,2.205,"1, 2, 3, 4",2
3464,17.919,9.209,0.2644,2.202,"1, 2, 3, 4",2
3464.25,18.097,10.445,0.2636,2.203,"1, 2, 3, 4",2
3464.5,17.627,11.913,0.2591,2.211,"1, 2, 3, 4",2
3464.75,17.222,13.522,0.2539,2.22,"1, 2, 3, 4",2
3465,16.914,14.883,0.2529,2.222,"1, 2, 3, 4",2
3465.25,16.728,16.318,0.2536,2.221,"1, 2, 3, 4",2
3465.5,16.857,17.519,0.2511,2.225,"1, 2, 3, 4",2
3465.75,17.271,18.134,0.2502,2.226,"1, 2, 3, 4",2
3466,17.344,18.612,0.2502,2.226,"1, 2, 3, 4",2
3466.25,17.181,18.297,0.2545,2.219,"1, 2, 3, 4",2
3466.5,17.757,17.865,0.2578,2.213,"1, 2, 3, 4",2
3466.75,18.802,17.091,0.2626,2.204,"1, 2, 3, 4",2
3467,19.734,16.139,0.2637,2.201,"1, 2, 3, 4",2
3467.25,20.934,15.18,0.2659,2.196,"1, 2, 3, 4",2
3467.5,22.174,14.252,0.2693,2.189,"1, 2, 3, 4",2
3467.75,22.652,13.581,0.2708,2.186,"1, 2, 3, 4",2
3468,22.879,13.169,0.2731,2.182,"1, 2, 3, 4",2
3468.25,23.633,12.987,0.2749,2.178,"1, 2, 3, 4",2
3468.5,23.932,12.972,0.2777,2.173,"1, 2, 3, 4",2
3468.75,23.252,13.044,0.2837,2.164,"1, 2, 4",3
3469,22.506,13.108,0.2885,2.157,"1, 2, 4",3
3469.25,22.077,13.124,0.2955,2.146,"1, 2, 4",3
3469.5,21.631,13.081,0.3001,2.139,"1, 2, 4",3
3469.75,21.145,13.019,0.3059,2.13,"1, 2, 4",3
3470,20.837,12.935,0.3122,2.12,"1, 2, 4",3
3470.25,20.285,12.995,0.3162,2.114,"1, 2, 4",3
3470.5,19.337,13.2,0.323,2.104,"1, 2, 4",3
3470.75,18.794,13.551,0.3264,2.099,"1, 2, 4",3
3471,18.81,13.887,0.3318,2.09,"1, 2, 4",3
3471.25,18.932,14.129,0.3348,2.085,"1, 2, 4",3
3471.5,19.24,14.318,0.334,2.086,"1, 2, 4",3
3471.75,19.629,14.287,0.3325,2.088,"1, 2, 4",3
3472,19.759,14.222,0.3288,2.094,"1, 2, 4",3
3472.25,19.775,14.031,0.3239,2.102,"1, 2, 4",3
3472.5,19.686,13.717,0.3197,2.109,"1, 2, 4",3
3472.75,19.329,13.286,0.3157,2.116,"1, 2, 4",3
3473,18.997,12.741,0.3123,2.122,"1, 2, 4",3
3473.25,18.665,12.095,0.3107,2.125,"1, 2, 4",3
3473.5,18.122,11.484,0.3123,2.123,"1, 2, 4",3
3473.75,17.538,10.693,0.312,2.124,"1, 2, 4",3
3474,17.076,9.955,0.3123,2.124,"1, 2, 4",3
3474.25,16.59,9.192,0.3139,2.122,"1, 2, 4",3
3474.5,15.982,8.455,0.3124,2.125,"1, 2, 4",3
3474.75,15.698,7.81,0.3108,2.128,"1, 2, 4",3
3475,15.966,7.284,0.3094,2.13,"1, 2, 4",3
3475.25,16.347,6.868,0.308,2.132,"1, 2, 4",3
3475.5,16.72,6.557,0.3041,2.138,"1, 2, 4",3
3475.75,17.238,6.352,0.2982,2.147,"1, 2, 4",3
3476,17.506,6.267,0.2944,2.153,"1, 2, 4",3
3476.25,17.716,6.326,0.2894,2.161,"1, 2, 4",3
3476.5,18.543,6.568,0.2846,2.168,"1, 2, 4",3
3476.75,19.661,7.136,0.282,2.171,"1, 2, 4",3
3477,20.861,7.883,0.2806,2.172,"1, 2, 4",3
3477.25,22.36,8.98,0.2789,2.173,"1, 2, 3, 4",2
3477.5,24.127,10.337,0.28,2.169,"1, 2, 3, 4",2
3477.75,25.845,11.78,0.2793,2.168,"1, 2, 3, 4",2
3478,27.174,13.12,0.2838,2.159,"1, 2, 4",3
3478.25,28.487,14.625,0.2864,2.153,"1, 2, 4",3
3478.5,29.306,15.876,0.2851,2.154,"1, 2, 4",3
3478.75,29.16,16.705,0.2749,2.171,"1, 2, 3, 4",2
3479,29.046,17.375,0.264,2.189,"1, 2, 3, 4",2
3479.25,29.022,17.223,0.2561,2.202,"1, 2, 3, 4",2
3479.5,28.439,16.798,0.2524,2.209,"1, 2, 3, 4",2
3479.75,27.263,16.307,0.2527,2.21,"1, 2, 3, 4",2
3480,26.145,15.587,0.2536,2.21,"1, 2, 3, 4",2
3480.25,25.602,14.818,0.254,2.21,"1, 2, 3, 4",2
3480.5,25.262,14.075,0.2622,2.197,"1, 2, 3, 4",2
3480.75,25.48,13.456,0.2644,2.193,"1, 2, 3, 4",2
3481,26.356,12.876,0.2698,2.183,"1, 2, 3, 4",2
3481.25,26.834,12.729,0.2743,2.175,"1, 2, 3, 4",2
3481.5,26.842,12.99,0.2779,2.169,"1, 2, 3, 4",2
3481.75,26.615,13.731,0.2775,2.17,"1, 2, 3, 4",2
3482,26.072,15.029,0.2804,2.166,"1, 2, 4",3
3482.25,25.383,16.974,0.2821,2.164,"1, 2, 4",3
3482.5,24.662,19.287,0.2827,2.164,"1, 2, 4",3
3482.75,23.876,21.938,0.2747,2.178,"1, 2, 3, 4",2
3483,22.911,24.431,0.2657,2.194,"1, 2, 3, 4",2
3483.25,21.833,27.106,0.258,2.208,"1, 2, 3, 4",2
3483.5,20.877,27.068,0.2635,2.2,"1, 2, 3, 4",2
3483.75,20.018,26.071,0.2751,2.182,"1, 2, 3, 4",2
3484,19.621,23.261,0.2845,2.167,"1, 2, 4",3
3484.25,20.059,19.368,0.2897,2.158,"1, 2, 4",3
3484.5,20.537,16.022,0.2948,2.149,"1, 2, 4",3
3484.75,20.431,13.44,0.3016,2.138,"1, 2, 4",3
3485,20.059,11.483,0.3012,2.139,"1, 2, 4",3
3485.25,19.621,10.136,0.3009,2.14,"1, 2, 4",3
3485.5,19.11,9.271,0.3043,2.135,"1, 2, 4",3
3485.75,18.762,8.796,0.3045,2.135,"1, 2, 4",3
3486,18.6,8.647,0.304,2.136,"1, 2, 4",3
3486.25,18.276,8.781,0.303,2.138,"1, 2, 4",3
3486.5,17.692,9.172,0.301,2.142,"1, 2, 4",3
3486.75,17.109,9.795,0.2971,2.149,"1, 2, 4",3
3487,16.728,10.623,0.2949,2.153,"1, 2, 4",3
3487.25,16.549,11.662,0.2914,2.159,"1, 2, 4",3
3487.5,16.59,12.885,0.2908,2.16,"1, 2, 4",3
3487.75,16.744,14.247,0.2949,2.153,"1, 2, 4",3
3488,16.655,15.614,0.2938,2.155,"1, 2, 4",3
3488.25,16.355,16.681,0.297,2.15,"1, 2, 4",3
3488.5,16.087,17.248,0.3033,2.14,"1, 2, 4",3
3488.75,15.877,16.758,0.307,2.134,"1, 2, 4",3
3489,15.828,15.806,0.3113,2.127,"1, 2, 4",3
3489.25,15.933,14.255,0.3143,2.122,"1, 2, 4",3
3489.5,15.998,12.565,0.3197,2.113,"1, 2, 4",3
3489.75,16.095,11.126,0.3197,2.113,"1, 2, 4",3
3490,16.371,10.01,0.3225,2.108,"1, 2, 4",3
3490.25,16.825,9.184,0.3204,2.111,"1, 2, 4",3
3490.5,17.789,8.545,0.321,2.109,"1, 2, 4",3
3490.75,19.159,8.053,0.3207,2.108,"1, 2, 4",3
3491,20.18,7.69,0.3224,2.104,"1, 2, 4",3
3491.25,20.731,7.472,0.319,2.109,"1, 2, 4",3
3491.5,21.209,7.434,0.3138,2.117,"1, 2, 4",3
3491.75,22.06,7.584,0.3107,2.121,"1, 2, 4",3
3492,23.163,8.054,0.3069,2.126,"1, 2, 4",3
3492.25,23.989,8.864,0.3069,2.125,"1, 2, 4",3
3492.5,24.808,10.052,0.3093,2.12,"1, 2, 4",3
3492.75,25.229,11.461,0.309,2.12,"1, 2, 4",3
3493,24.678,12.819,0.31,2.119,"1, 2, 4",3
3493.25,24.086,13.558,0.3099,2.12,"1, 2, 4",3
3493.5,23.811,14.3,0.3113,2.118,"1, 2, 4",3
3493.75,23.803,14.761,0.3107,2.119,"1, 2, 4",3
3494,23.876,14.71,0.313,2.115,"1, 2, 4",3
3494.25,23.438,14.465,0.3146,2.113,"1, 2, 4",3
3494.5,22.96,14.364,0.3119,2.118,"1, 2, 4",3
3494.75,22.49,14.553,0.3031,2.133,"1, 2, 4",3
3495,21.809,14.943,0.2933,2.15,"1, 2, 4",3
3495.25,21.347,15.239,0.2845,2.165,"1, 2, 4",3
3495.5,21.08,15.092,0.278,2.176,"1, 2, 3, 4",2
3495.75,21.007,14.561,0.2683,2.192,"1, 2, 3, 4",2
3496,20.78,13.714,0.2569,2.211,"1, 2, 3, 4",2
3496.25,20.107,12.925,0.2489,2.225,"1, 2, 3, 4",2
3496.5,19.475,12.329,0.2475,2.228,"1, 2, 3, 4",2
3496.75,18.932,12.031,0.2467,2.23,"1, 2, 3, 4",2
3497,18.316,12.05,0.2519,2.222,"1, 2, 3, 4",2
3497.25,18.049,12.389,0.2564,2.215,"1, 2, 3, 4",2
3497.5,18.235,12.837,0.2611,2.207,"1, 2, 3, 4",2
3497.75,18.219,13.34,0.2636,2.203,"1, 2, 3, 4",2
3498,17.805,13.81,0.2657,2.2,"1, 2, 3, 4",2
3498.25,17.522,14.157,0.2677,2.197,"1, 2, 3, 4",2
3498.5,17.489,14.521,0.2701,2.193,"1, 2, 3, 4",2
3498.75,17.449,14.975,0.2689,2.195,"1, 2, 3, 4",2
3499,17.416,15.756,0.2659,2.2,"1, 2, 3, 4",2
3499.25,17.408,16.757,0.2617,2.207,"1, 2, 3, 4",2
3499.5,17.457,18.307,0.258,2.213,"1, 2, 3, 4",2
3499.75,17.911,20.059,0.2546,2.218,"1, 2, 3, 4",2
3500,18.705,21.932,0.2517,2.222,"1, 2, 3, 4",2
3500.25,19.451,23.681,0.2506,2.223,"1, 2, 3, 4",2
3500.5,20.026,24.731,0.2575,2.211,"1, 2, 3, 4",2
3500.75,20.318,24.482,0.2633,2.201,"1, 2, 3, 4",2
3501,20.107,22.761,0.2714,2.188,"1, 2, 3, 4",2
3501.25,19.605,20.993,0.276,2.181,"1, 2, 3, 4",2
3501.5,19.281,18.252,0.2817,2.172,"1, 2, 4",3
3501.75,18.794,15.227,0.2863,2.165,"1, 2, 4",3
3502,17.878,12.484,0.2942,2.153,"1, 2, 4",3
3502.25,17.1,10.266,0.3026,2.14,"1, 2, 4",3
3502.5,16.72,8.622,0.3071,2.133,"1, 2, 4",3
3502.75,16.476,7.491,0.3115,2.126,"1, 2, 4",3
3503,16.306,6.737,0.3189,2.114,"1, 2, 4",3
3503.25,16.412,6.261,0.3328,2.091,"1, 2, 4",3
3503.5,16.914,5.998,0.3459,2.069,"1, 2, 4",3
3503.75,17.538,5.967,0.3528,2.057,"1, 2, 4",3
3504,17.822,6.011,0.3562,2.051,"1, 2, 4",3
3504.25,17.838,6.249,0.3568,2.05,"1, 2, 4",3
3504.5,18.008,6.622,0.3549,2.053,"1, 2, 4",3
3504.75,18.17,7.076,0.3529,2.056,"1, 2, 4",3
3505,17.895,7.761,0.3531,2.056,"1, 2, 4",3
3505.25,17.335,8.621,0.3492,2.063,"1, 2, 4",3
3505.5,16.938,9.658,0.3264,2.101,"1, 2, 4",3
3505.75,16.857,10.957,0.3149,2.12,"1, 2, 4",3
3506,17.076,12.528,0.3178,2.115,"1, 2, 4",3
3506.25,17.4,14.336,0.3255,2.102,"1, 2, 4",3
3506.5,17.433,16.281,0.3273,2.099,"1, 2, 4",3
3506.75,17.149,18.208,0.3269,2.1,"1, 2, 4",3
3507,17.279,19.963,0.3256,2.102,"1, 2, 4",3
3507.25,18.122,21.476,0.325,2.102,"1, 2, 4",3
3507.5,18.867,22.803,0.3282,2.096,"1, 2, 4",3
3507.75,19.135,24.107,0.3322,2.089,"1, 2, 4",3
3508,18.997,25.589,0.3305,2.092,"1, 2, 4",3
3508.25,18.421,27.434,0.3272,2.098,"1, 2, 4",3
3508.5,18.024,29.758,0.3251,2.102,"1, 2, 4",3
3508.75,18.073,32.561,0.3281,2.097,"1, 2, 4",3
3509,17.959,35.64,0.3269,2.099,"1, 2, 4",3
3509.25,17.206,38.514,0.3232,2.106,"1, 2, 4",3
3509.5,16.104,40.451,0.3142,2.122,"1, 2, 4",3
3509.75,15.52,40.747,0.3048,2.138,"1, 2, 4",3
3510,15.674,39.14,0.3029,2.141,"1, 2, 4",3
3510.25,15.804,35.993,0.304,2.139,"1, 2, 4",3
3510.5,15.253,32.027,0.3008,2.145,"1, 2, 4",3
3510.75,14.345,27.915,0.3031,2.142,"1, 2, 4",3
3511,13.794,24.084,0.3065,2.137,"1, 2, 4",3
3511.25,13.81,20.72,0.3096,2.132,"1, 2, 4",3
3511.5,14.037,17.863,0.3155,2.122,"1, 2, 4",3
3511.75,14.24,15.481,0.3215,2.112,"1, 2, 4",3
3512,14.353,13.516,0.322,2.111,"1, 2, 4",3
3512.25,14.183,11.907,0.3257,2.105,"1, 2, 4",3
3512.5,14.142,10.593,0.3252,2.106,"1, 2, 4",3
3512.75,14.945,9.523,0.3234,2.108,"1, 2, 4",3
3513,16.225,8.648,0.3232,2.107,"1, 2, 4",3
3513.25,16.906,7.929,0.3228,2.107,"1, 2, 4",3
3513.5,16.906,7.335,0.3295,2.096,"1, 2, 4",3
3513.75,17.4,6.839,0.3431,2.073,"1, 2, 4",3
3514,18.721,6.407,0.3453,2.068,"1, 2, 4",3
3514.25,20.115,6.056,0.3425,2.071,"1, 2, 4",3
3514.5,21.38,5.741,0.341,2.072,"1, 2, 4",3
3514.75,22.62,5.501,0.3401,2.072,"1, 2, 4",3
3515,23.997,5.287,0.3361,2.077,"1, 2, 4",3
3515.25,25.626,5.174,0.3318,2.082,"1, 2, 4",3
3515.5,27.677,5.147,0.3247,2.091,"1, 2, 4",3
3515.75,30.068,5.223,0.3179,2.099,"1, 2, 4",3
3516,31.907,5.423,0.3181,2.096,"1, 2, 4",3
3516.25,32.726,5.783,0.3192,2.093,"1, 2, 4",3
3516.5,33.374,6.356,0.3193,2.092,"1, 2, 4",3
3516.75,34.436,7.317,0.3122,2.102,"1, 2, 4",3
3517,35.206,8.648,0.3085,2.107,"1, 2, 4",3
3517.25,35.376,10.669,0.3065,2.11,"1, 2, 4",3
3517.5,35.19,13.579,0.303,2.116,"1, 2, 4",3
3517.75,34.606,18.184,0.2956,2.129,"1, 2, 4",3
3518,33.771,25.781,0.2867,2.145,"1, 2, 4",3
3518.25,33.042,38.934,0.2764,2.163,"1, 2, 3, 4",2
3518.5,32.321,62.885,0.2612,2.189,"1, 2, 3, 4",2
3518.75,30.902,108.009,0.2503,2.209,"2, 3, 4",7
3519,29.006,188.147,0.2482,2.215,"2, 3, 4",7
3519.25,27.717,278.733,0.2499,2.214,"2, 3, 4",7
3519.5,26.639,268.35,0.255,2.207,"2, 3, 4",7
3519.75,25.359,179.075,0.2566,2.206,"2, 3, 4",7
3520,24.24,109.325,0.2611,2.2,"2, 3, 4",7
3520.25,22.919,69.608,0.2682,2.19,"1, 2, 3, 4",2
3520.5,21.615,47.657,0.2807,2.171,"1, 2, 4",3
3520.75,20.958,35.242,0.2921,2.153,"1, 2, 4",3
3521,20.942,26.241,0.2957,2.147,"1, 2, 4",3
3521.25,21.274,20.763,0.301,2.138,"1, 2, 4",3
3521.5,21.299,17.875,0.3034,2.134,"1, 2, 4",3
3521.75,21.274,16.73,0.3016,2.137,"1, 2, 4",3
3522,21.76,16.909,0.3024,2.135,"1, 2, 4",3
3522.25,22.231,17.652,0.2972,2.143,"1, 2, 4",3
3522.5,22.555,18.719,0.2903,2.154,"1, 2, 4",3
3522.75,22.53,19.959,0.2855,2.162,"1, 2, 4",3
3523,22.149,21.224,0.2791,2.173,"1, 2, 3, 4",2
3523.25,22.125,22.777,0.2772,2.176,"1, 2, 3, 4",2
3523.5,22.231,25.13,0.2772,2.176,"1, 2, 3, 4",2
3523.75,22.222,26.792,0.2784,2.174,"1, 2, 3, 4",2
3524,22.222,26.77,0.2796,2.172,"1, 2, 3, 4",2
3524.25,21.947,26.797,0.2822,2.168,"1, 2, 4",3
3524.5,21.712,25.802,0.2824,2.168,"1, 2, 4",3
3524.75,21.906,23.956,0.2798,2.172,"1, 2, 3, 4",2
3525,22.109,21.671,0.2785,2.174,"1, 2, 3, 4",2
3525.25,21.931,19.36,0.2804,2.171,"1, 2, 4",3
3525.5,21.631,17.368,0.2873,2.16,"1, 2, 4",3
3525.75,21.355,15.19,0.2936,2.15,"1, 2, 4",3
3526,20.934,13.576,0.2982,2.143,"1, 2, 4",3
3526.25,20.553,12.502,0.3039,2.134,"1, 2, 4",3
3526.5,20.229,11.761,0.3102,2.124,"1, 2, 4",3
3526.75,19.751,11.224,0.3166,2.114,"1, 2, 4",3
3527,19.143,10.842,0.3182,2.112,"1, 2, 4",3
3527.25,18.746,10.608,0.3179,2.113,"1, 2, 4",3
3527.5,18.827,10.546,0.3179,2.113,"1, 2, 4",3
3527.75,19.102,10.698,0.3177,2.113,"1, 2, 4",3
3528,19.548,11.109,0.318,2.112,"1, 2, 4",3
3528.25,20.221,11.823,0.3181,2.111,"1, 2, 4",3
3528.5,20.731,12.854,0.3208,2.106,"1, 2, 4",3
3528.75,20.991,14.163,0.3206,2.106,"1, 2, 4",3
3529,21.363,15.551,0.3185,2.109,"1, 2, 4",3
3529.25,22.149,16.83,0.3149,2.114,"1, 2, 4",3
3529.5,22.855,17.537,0.3156,2.112,"1, 2, 4",3
3529.75,23.195,17.788,0.3136,2.115,"1, 2, 4",3
3530,23.219,17.528,0.3099,2.121,"1, 2, 4",3
3530.25,22.425,17.007,0.3123,2.118,"1, 2, 4",3
3530.5,21.201,16.402,0.312,2.12,"1, 2, 4",3
3530.75,20.553,15.97,0.3094,2.125,"1, 2, 4",3
3531,20.642,15.74,0.3117,2.121,"1, 2, 4",3
3531.25,20.812,15.636,0.308,2.127,"1, 2, 4",3
3531.5,20.577,15.527,0.3069,2.129,"1, 2, 4",3
3531.75,20.253,15.314,0.3053,2.132,"1, 2, 4",3
3532,19.961,15.036,0.3067,2.13,"1, 2, 4",3
3532.25,19.807,14.765,0.3075,2.129,"1, 2, 4",3
3532.5,20.277,14.613,0.3053,2.132,"1, 2, 4",3
3532.75,21.136,14.709,0.3065,2.129,"1, 2, 4",3
3533,21.453,15.369,0.3051,2.131,"1, 2, 4",3
3533.25,21.007,16.427,0.3042,2.133,"1, 2, 4",3
3533.5,20.431,18.196,0.307,2.129,"1, 2, 4",3
3533.75,19.888,20.897,0.311,2.123,"1, 2, 4",3
3534,19.394,24.71,0.315,2.117,"1, 2, 4",3
3534.25,19.289,29.826,0.3151,2.117,"1, 2, 4",3
3534.5,19.289,36.536,0.3139,2.119,"1, 2, 4",3
3534.75,18.786,44.803,0.3136,2.12,"1, 2, 4",3
3535,18.13,55.753,0.3098,2.127,"1, 2, 4",3
3535.25,18.292,64.526,0.3067,2.132,"1, 2, 4",3
3535.5,19.127,68.422,0.3018,2.139,"1, 2, 4",3
3535.75,19.759,64.198,0.2978,2.145,"1, 2, 4",3
3536,20.31,56.096,0.2937,2.151,"1, 2, 4",3
3536.25,20.958,43.024,0.2915,2.154,"1, 2, 4",3
3536.5,21.031,32.406,0.289,2.158,"1, 2, 4",3
3536.75,20.642,24.969,0.2947,2.149,"1, 2, 4",3
3537,20.723,20.059,0.2965,2.146,"1, 2, 4",3
3537.25,21.112,16.887,0.2974,2.144,"1, 2, 4",3
3537.5,21.023,14.854,0.2969,2.145,"1, 2, 4",3
3537.75,20.553,13.545,0.2966,2.146,"1, 2, 4",3
3538,20.31,12.675,0.2992,2.142,"1, 2, 4",3
3538.25,20.415,12.049,0.2979,2.144,"1, 2, 4",3
3538.5,20.626,11.55,0.3026,2.136,"1, 2, 4",3
3538.75,20.837,11.115,0.3061,2.13,"1, 2, 4",3
3539,20.999,10.78,0.3054,2.131,"1, 2, 4",3
3539.25,20.958,10.601,0.306,2.13,"1, 2, 4",3
3539.5,20.756,10.589,0.3025,2.136,"1, 2, 4",3
3539.75,20.545,10.925,0.3063,2.13,"1, 2, 4",3
3540,20.318,11.595,0.3095,2.125,"1, 2, 4",3
3540.25,20.075,12.572,0.3091,2.126,"1, 2, 4",3
3540.5,19.71,13.754,0.3112,2.123,"1, 2, 4",3
3540.75,19.216,14.811,0.3115,2.123,"1, 2, 4",3
3541,18.981,15.408,0.3141,2.119,"1, 2, 4",3
3541.25,19.208,15.429,0.3158,2.116,"1, 2, 4",3
