DEPTH,GR,RES,PHIE,RHOB,Class,Unique_Class_Num
2932.75,22.295,7.289,0.2887,2.157,"1, 2, 4",3
2933,22.255,7.531,0.2917,2.152,"1, 2, 4",3
2933.25,21.744,7.803,0.2982,2.142,"1, 2, 4",3
2933.5,21.363,8.067,0.2997,2.14,"1, 2, 4",3
2933.75,21.363,8.298,0.3058,2.13,"1, 2, 4",3
2934,21.947,8.319,0.3066,2.128,"1, 2, 4",3
2934.25,22.806,8.085,0.3029,2.133,"1, 2, 4",3
2934.5,23.349,7.611,0.3025,2.133,"1, 2, 4",3
2934.75,23.754,6.994,0.2992,2.138,"1, 2, 4",3
2935,24.038,6.364,0.2965,2.142,"1, 2, 4",3
2935.25,24.824,5.777,0.2917,2.149,"1, 2, 4",3
2935.5,26.421,5.309,0.2844,2.159,"1, 2, 4",3
2935.75,27.49,4.967,0.2786,2.167,"2, 3, 4",7
2936,27.709,4.737,0.2742,2.174,"2, 3, 4",7
2936.25,27.685,4.59,0.2742,2.174,"2, 3, 4",7
2936.5,27.985,4.499,0.2704,2.18,"2, 3, 4",7
2936.75,28.698,4.44,0.2692,2.181,"2, 3, 4",7
2937,29.29,4.4,0.2632,2.19,"2, 3, 4",7
2937.25,30.205,4.392,0.2545,2.203,"2, 3, 4",7
2937.5,31.478,4.42,0.2468,2.214,"2, 3, 4",7
2937.75,33.066,4.509,0.2363,2.229,"2, 3, 4",7
2938,35.765,4.68,0.2289,2.237,"2, 3, 4",7
2938.25,39.185,4.951,0.2243,2.239,"2, 3, 4",7
2938.5,42.484,5.332,0.2154,2.248,"1, 2, 3, 4",2
2938.75,45.19,5.817,0.2093,2.253,"1, 2, 3, 4",2
2939,47.168,6.374,0.2045,2.257,"1, 2, 3, 4",2
2939.25,48.286,6.941,0.1982,2.265,"1, 2, 3, 4",2
2939.5,48.165,7.436,0.199,2.264,"1, 2, 3, 4",2
2939.75,47.33,7.794,0.2031,2.259,"1, 2, 3, 4",2
2940,46.195,7.998,0.2093,2.251,"1, 2, 3, 4",2
2940.25,44.421,8.079,0.2199,2.237,"1, 2, 3, 4",2
2940.5,42.2,8.09,0.2382,2.211,"1, 2, 3, 4",2
2940.75,39.874,8.07,0.2534,2.19,"1, 2, 3, 4",2
2941,37.678,8.039,0.266,2.173,"1, 2, 3, 4",2
2941.25,35.757,7.998,0.2763,2.159,"1, 2, 3, 4",2
2941.5,34.055,7.942,0.2797,2.156,"1, 2, 3, 4",2
2941.75,32.985,7.864,0.2843,2.15,"1, 2, 4",3
2942,32.231,7.752,0.2887,2.144,"1, 2, 4",3
2942.25,31.267,7.592,0.2919,2.14,"1, 2, 4",3
2942.5,30.359,7.368,0.2933,2.139,"1, 2, 4",3
2942.75,29.314,7.073,0.2954,2.137,"1, 2, 4",3
2943,28.276,6.717,0.2884,2.15,"1, 2, 4",3
2943.25,27.458,6.322,0.2805,2.164,"1, 2, 4",3
2943.5,27.053,5.92,0.2741,2.175,"1, 2, 3, 4",2
2943.75,27.182,5.541,0.2765,2.171,"1, 2, 3, 4",2
2944,27.061,5.206,0.279,2.167,"1, 2, 3, 4",2
2944.25,26.599,4.929,0.2873,2.154,"2, 4",8
2944.5,25.902,4.714,0.2945,2.143,"2, 4",8
2944.75,24.881,4.559,0.3038,2.129,"2, 4",8
2945,23.835,4.458,0.3119,2.117,"2, 4",8
2945.25,22.846,4.403,0.3199,2.105,"2, 4",8
2945.5,22.344,4.386,0.3275,2.093,"2, 4",8
2945.75,22.004,4.401,0.3351,2.081,"2, 4",8
2946,21.428,4.446,0.3385,2.076,"2, 4",8
2946.25,21.339,4.522,0.341,2.072,"2, 4",8
2946.5,21.493,4.628,0.3415,2.071,"2, 4",8
2946.75,21.412,4.761,0.3416,2.071,"2, 4",8
2947,21.493,4.911,0.3336,2.084,"2, 4",8
2947.25,21.712,5.065,0.3262,2.096,"1, 2, 4",3
2947.5,21.842,5.212,0.3224,2.102,"1, 2, 4",3
2947.75,21.639,5.34,0.3159,2.113,"1, 2, 4",3
2948,20.991,5.439,0.3097,2.124,"1, 2, 4",3
2948.25,20.545,5.504,0.3063,2.13,"1, 2, 4",3
2948.5,20.123,5.533,0.3066,2.13,"1, 2, 4",3
2948.75,19.524,5.528,0.3083,2.128,"1, 2, 4",3
2949,19.272,5.497,0.3072,2.13,"1, 2, 4",3
2949.25,19.021,5.45,0.3086,2.128,"1, 2, 4",3
2949.5,19.159,5.397,0.3115,2.123,"1, 2, 4",3
2949.75,19.888,5.35,0.3117,2.122,"1, 2, 4",3
2950,20.512,5.313,0.3173,2.112,"1, 2, 4",3
2950.25,21.428,5.291,0.3227,2.102,"1, 2, 4",3
2950.5,22.579,5.286,0.3268,2.094,"1, 2, 4",3
2950.75,23.819,5.286,0.3283,2.09,"1, 2, 4",3
2951,24.937,5.293,0.3281,2.089,"1, 2, 4",3
2951.25,25.286,5.305,0.329,2.087,"1, 2, 4",3
2951.5,25.399,5.32,0.3277,2.089,"1, 2, 4",3
2951.75,25.44,5.337,0.324,2.095,"1, 2, 4",3
2952,25.245,5.346,0.3217,2.099,"1, 2, 4",3
2952.25,24.962,5.327,0.3183,2.105,"1, 2, 4",3
2952.5,24.176,5.256,0.3195,2.104,"1, 2, 4",3
2952.75,22.879,5.115,0.3199,2.105,"1, 2, 4",3
2953,21.485,4.905,0.3245,2.099,"2, 4",8
2953.25,20.472,4.662,0.3313,2.089,"2, 4",8
2953.5,20.448,4.394,0.3368,2.08,"2, 4",8
2953.75,20.853,4.161,0.3389,2.076,"2, 4",8
2954,20.699,3.985,0.3403,2.074,"2, 4",8
2954.25,20.448,3.874,0.3435,2.069,"2, 4",8
2954.5,20.691,3.821,0.3451,2.066,"2, 4",8
2954.75,21.347,3.812,0.3435,2.068,"2, 4",8
2955,22.328,3.827,0.3391,2.074,"2, 4",8
2955.25,23.252,3.848,0.3354,2.079,"2, 4",8
2955.5,24.33,3.864,0.3291,2.088,"2, 4",8
2955.75,26.129,3.876,0.3186,2.103,"2, 4",8
2956,28.56,3.899,0.3064,2.12,"2, 4",8
2956.25,31.907,3.952,0.2902,2.142,"2, 4",8
2956.5,35.951,4.057,0.2743,2.162,"2, 3, 4",7
2956.75,40.174,4.23,0.2592,2.18,"2, 3, 4",7
2957,44.68,4.478,0.2518,2.184,"2, 3, 4",7
2957.25,49.275,4.792,0.2547,2.17,"2, 3, 4",7
2957.5,53.676,5.151,0.2725,2.131,"1, 2, 3, 4",2
2957.75,57.015,5.527,0.3082,2.064,"1, 2, 4",3
2958,58.83,5.895,0.3085,2.01,"1, 2, 4",3
2958.25,60.054,6.252,0.3046,1.967,"1, 2, 4",3
2958.5,60.581,6.621,0.3028,1.936,"1, 2, 4",3
2958.75,59.446,7.035,0.3066,1.904,"1, 2, 4",3
2959,57.307,7.532,0.3132,1.878,"1, 2, 4",3
2959.25,55.013,8.14,0.32,1.887,"1, 2, 4",3
2959.5,51.917,8.88,0.3284,1.929,"1, 2, 4",3
2959.75,48.546,9.746,0.3369,1.989,"1, 2, 4",3
2960,46.171,10.735,0.3242,2.062,"1, 2, 4",3
2960.25,44.307,11.794,0.2839,2.132,"1, 2, 4",3
2960.5,42.038,12.823,0.2426,2.204,"1, 2, 3, 4",2
2960.75,39.128,13.693,0.2062,2.269,"1, 2, 3, 4",2
2961,36.446,14.301,0.1827,2.312,"1, 2, 3, 4",2
2961.25,34.387,14.689,0.1712,2.334,"1, 2, 3, 4",2
2961.5,32.296,14.725,0.1713,2.337,"1, 2, 3, 4",2
